mid,x,y,z,xxx,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,sgz
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,80,70,81,56.40,5,-2.00,5.00,-1004.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,80,70,81,56.43,6,-10.00,-1.00,-1002.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,80,70,81,56.40,6,2.00,-5.00,-1012.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,80,70,81,56.37,6,6.00,-13.00,-978.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,80,70,81,56.42,6,0.00,-4.00,-1001.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,80,70,81,56.37,6,-3.00,2.00,-999.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,80,70,81,56.43,6,0.00,6.00,-996.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,80,70,81,56.37,6,-3.00,-5.00,-996.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,81,70,81,56.34,6,13.00,-3.00,-986.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,81,70,81,56.38,6,15.00,-10.00,-970.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,80,70,81,56.40,6,5.00,-3.00,-999.00,
-1,-100,-100,-100,"-1,-1,-1",-2,0,-127,0,0,0,79,81,81,70,81,56.41,7,-15.00,-1.00,-1000.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,0,0,0,79,81,83,70,81,56.34,7,-16.00,1.00,-1002.00,
-1,-100,-100,-100,"-1,-1,-1",-7,0,-127,-1,-1,0,79,81,83,70,81,56.36,7,-18.00,-7.00,-1013.00,
-1,-100,-100,-100,"-1,-1,-1",-7,0,-127,-1,-2,0,79,81,82,70,81,56.41,7,-10.00,-8.00,-995.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,-2,-3,0,79,81,82,70,81,56.39,7,-26.00,-9.00,-1022.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,-3,-3,0,79,81,82,70,81,56.39,7,-39.00,-16.00,-1002.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,-3,-4,0,79,81,83,70,81,56.37,7,-44.00,-10.00,-999.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,-3,-4,0,79,81,83,70,81,56.32,7,-44.00,-13.00,-994.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,-3,-4,0,79,81,83,70,81,56.27,7,-50.00,-19.00,-987.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,-4,-5,0,79,81,114,70,81,56.29,7,-43.00,-9.00,-988.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,-4,-5,0,78,81,150,70,81,56.26,8,-52.00,-5.00,-996.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,-4,-5,0,78,81,121,70,81,56.26,8,-67.00,-4.00,-996.00,
-1,-100,-100,-100,"-1,-1,-1",-6,0,-127,-4,-6,0,78,81,83,70,81,56.16,8,-66.00,-15.00,-989.00,
-1,-100,-100,-100,"-1,-1,-1",-5,0,-127,-5,-6,0,78,81,77,70,81,56.10,8,-88.00,1.00,-1009.00,
-1,-100,-100,-100,"-1,-1,-1",-5,0,-127,-5,-7,0,78,81,80,70,81,56.25,8,-72.00,-17.00,-1000.00,
-1,-100,-100,-100,"-1,-1,-1",-4,0,-127,-5,-7,0,78,81,86,70,81,56.23,8,-75.00,-2.00,-995.00,
-1,-100,-100,-100,"-1,-1,-1",-4,0,-127,-6,-7,0,78,81,87,70,81,56.25,8,-54.00,-8.00,-971.00,
-1,-100,-100,-100,"-1,-1,-1",-4,0,-127,-6,-7,0,78,81,87,70,81,56.21,8,-77.00,6.00,-1007.00,
-1,-100,-100,-100,"-1,-1,-1",-4,0,-127,-6,-7,0,78,81,95,70,81,56.20,8,-58.00,-26.00,-990.00,
-1,-100,-100,-100,"-1,-1,-1",-4,0,-127,-6,-7,0,78,81,145,70,81,56.16,8,-75.00,-12.00,-1006.00,
-1,-100,-100,-100,"-1,-1,-1",-4,0,-127,-6,-7,0,78,81,159,70,81,56.17,9,-65.00,-17.00,-994.00,
-1,-100,-100,-100,"-1,-1,-1",-3,0,-127,-6,-7,0,78,81,158,70,81,56.12,9,-62.00,-20.00,-1007.00,
-1,-100,-100,-100,"-1,-1,-1",0,1,-127,-6,-7,0,78,81,159,70,81,56.08,9,-74.00,0.00,-1006.00,
-1,-100,-100,-100,"-1,-1,-1",0,1,-127,-4,-5,0,78,81,160,70,81,56.13,9,-62.00,-23.00,-1007.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-3,-4,0,78,81,159,70,81,56.20,9,-58.00,-7.00,-1006.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-2,-3,0,78,81,160,70,81,56.18,9,-59.00,-19.00,-988.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,-2,-2,0,78,81,162,70,81,56.21,9,-43.00,-22.00,-1011.00,
-1,-100,-100,-100,"-1,-1,-1",-1,0,-127,-1,-2,0,78,81,162,70,81,56.18,9,-55.00,-2.00,-982.00,
-1,-100,-100,-100,"-1,-1,-1",-1,0,-127,-2,-2,0,78,81,161,70,81,56.19,9,-50.00,-6.00,-983.00,
